player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Joey Garber,23,-1.325217391304348,0.03695652173913044,-0.7404347826086957,-0.12478260869565218,-0.4960869565217391,0.30434782608695654,0,1,1,1,0.805,0.735
John Augenstein,11,-1.629090909090909,-0.007272727272727239,-0.2227272727272727,-0.5627272727272727,-0.8390909090909091,0.2727272727272727,0,1,1,2,0.72,0.92
John Chin,17,-2.1494117647058824,-0.2888235294117647,-0.9411764705882353,-0.48352941176470593,-0.4364705882352941,0.35294117647058826,0,0,3,1,0.47,0.755
John Daly,19,-2.7673684210526317,-0.1968421052631579,-1.2657894736842106,-0.44578947368421057,-0.8589473684210527,0.15789473684210525,0,0,3,1,0.55,0.785
John Huh,134,-0.24425373134328363,-0.08798507462686567,-0.06708955223880597,-0.045298507462686564,-0.050373134328358216,0.5746268656716418,0,7,2,0,0.755,0.54
John Merrick,44,-0.8822727272727273,-0.09636363636363635,0.10613636363636364,-0.021136363636363644,-0.8722727272727273,0.38636363636363635,0,0,0,2,0.55,0.995
John Pak,10,-1.565,-0.231,-0.593,-0.31,-0.41100000000000003,0.3,0,0,1,1,0.725,0.59
John Rollins,30,-1.653,-0.18966666666666668,-0.5086666666666667,-0.26966666666666667,-0.6846666666666666,0.3333333333333333,0,0,1,2,0.725,0.66
John Senden,80,-0.8844999999999998,-0.22774999999999998,-0.313875,-0.28900000000000003,-0.052250000000000005,0.4125,0,2,1,0,0.785,0.76
Johnson Wagner,99,-0.37101010101010096,-0.2486868686868687,-0.13131313131313133,-0.1715151515151515,0.166969696969697,0.5151515151515151,0,6,2,3,0.81,0.56
Jon Rahm,92,1.5942391304347825,0.8384782608695652,0.37010869565217386,0.1366304347826087,0.2490217391304348,0.9021739130434783,5,46,0,0,0.895,0.675
Jonas Blixt,106,-0.8366037735849056,-0.26066037735849057,-0.6369811320754717,-0.04990566037735849,0.1582075471698113,0.4811320754716981,0,4,2,1,0.78,0.84
Jonathan Byrd,81,-0.5335802469135802,-0.5082716049382716,-0.11358024691358024,0.2569135802469136,-0.15839506172839507,0.49382716049382713,0,2,2,3,0.905,0.97
Jonathan Randolph,51,-1.2149019607843137,-0.25098039215686274,-0.5225490196078431,-0.2862745098039216,-0.1535294117647059,0.45098039215686275,0,2,1,1,0.795,0.595
Joost Luiten,16,0.03250000000000003,0.05875,0.47812499999999997,-0.293125,-0.21375,0.75,0,1,0,2,0.94,0.84
